year oni nao pdo iod npgo npo
1950 -0.86 -0.120833333333333 -2.23583333333333 -0.285583333333333 -0.766430556666667 1.49
1951 0.430833333333333 -0.00833333333333331 -1.12166666666667 0.0705833333333333 -0.961180174166667 3
1952 0.174166666666667 -0.425 -1.54916666666667 -0.0819166666666667 -0.6394242 2.19
1953 0.713333333333333 -0.0175 -0.64 0.07425 1.08228094666667 -1.3
1954 -0.400833333333333 0.00250000000000001 -0.403333333333333 -0.34975 0.207065489666667 0.91
1955 -0.948333333333333 -0.399166666666667 -2.06916666666667 -0.252916666666667 -0.074898058 2.31
1956 -0.5775 -0.0441666666666667 -1.8125 -0.386166666666667 0.0699519816666667 3.4
1957 0.960833333333333 -0.195833333333333 0.29 -0.291666666666667 -1.14730695416667 1.41
1958 0.8325 -0.589166666666667 0.864166666666667 -0.618916666666667 -0.547807001666667 -1.07
1959 0.136666666666667 0.3525 0.274166666666667 -0.473416666666667 -0.20346100825 1.4
1960 0.0683333333333333 -0.41 0.0391666666666667 -0.496416666666667 0.747739953333333 0.36
1961 -0.0166666666666667 0.0433333333333333 -0.574166666666667 0.235833333333333 0.970684513333333 -2.03
1962 -0.215 -0.341666666666667 -1.10166666666667 0.0136666666666667 -0.0934241255833333 1.78
1963 0.6575 -0.416666666666667 -0.240833333333333 0.244166666666667 -0.234721501666667 -1.43
1964 -0.341666666666667 -0.0416666666666667 -0.8875 -0.446583333333333 0.544102425166667 0.18
1965 0.900833333333333 -0.13 -0.144166666666667 -0.209166666666667 -0.837212700833333 0.99
1966 0.375 -0.328333333333333 -0.44 -0.100583333333333 -0.9563561925 2.37
1967 -0.306666666666667 0.366666666666667 -0.741666666666667 0.1155 -0.699724801116667 2.06
1968 0.135 -0.94 -0.154166666666667 -0.08225 -0.850601763333333 0.12
1969 0.745 -0.0583333333333333 -0.344166666666667 -0.101833333333333 -0.387628509 1.93
1970 -0.32 -0.253333333333333 -0.404166666666667 -0.06775 0.0610431538333333 -3.16
1971 -0.94 0.01 -1.31583333333333 -0.04275 0.381984270666667 2.58
1972 0.9275 0.51 -1.14416666666667 0.4355 -0.659303725833333 2.94
1973 -0.6175 -0.0866666666666667 -1.13666666666667 -0.12875 0.126585564416667 0.61
1974 -0.886666666666667 0.180833333333333 -0.3025 -0.134833333333333 -0.00931021661666667 0.16
1975 -1.0525 -0.0741666666666667 -1.41166666666667 -0.206916666666667 0.798500536666667 1.12
1976 -0.0491666666666667 0.1875 -0.149166666666667 0.1565 1.86321135 1.19
1977 0.511666666666667 -0.335833333333333 0.045 0.00283333333333334 1.24927034083333 -2.95
1978 -0.0983333333333333 0.3175 0.0716666666666666 -0.275333333333333 0.504466635833333 -2.41
1979 0.250833333333333 0.135 0.1075 -0.0603333333333333 -0.737188575 1.65
1980 0.253333333333333 -0.4125 0.308333333333333 -0.326833333333333 -0.749107275833333 -1.21
1981 -0.268333333333333 -0.2125 0.838333333333333 -0.173333333333333 -0.221840562241667 -4.46
1982 0.99 0.43 -0.2575 0.320833333333333 -0.686691380833333 1.7
1983 0.48 0.31 1.24833333333333 -0.0679166666666667 -0.09206469425 -5.44
1984 -0.505833333333333 0.2475 0.603333333333333 -0.228833333333333 0.620750036666667 -2.62
1985 -0.598333333333333 -0.183333333333333 0.0266666666666667 -0.287333333333333 -0.393901047083333 1.11
1986 0.253333333333333 0.503333333333333 1.0075 -0.136666666666667 -0.732847288333333 -4.11
1987 1.27666666666667 -0.1225 1.13666666666667 0.197916666666667 0.429174729166667 -2.93
1988 -0.810833333333333 -0.0133333333333333 -0.0383333333333333 -0.1025 1.32363676333333 -0.77
1989 -0.605 0.701666666666667 -0.504166666666667 -0.269 0.612240616666667 2.84
1990 0.315 0.594166666666667 -0.826666666666667 -0.159 -0.201546121083333 2
1991 0.646666666666667 0.268333333333333 -0.879166666666667 0.213583333333333 -0.498914711166667 2.34
1992 0.630833333333333 0.580833333333333 0.76 -0.4655 -1.09491887 -2.45
1993 0.3125 0.179166666666667 1.04333333333333 -0.0606666666666667 -1.90199258833333 -0.15
1994 0.475 0.575833333333333 -0.493333333333333 0.478583333333333 -1.2115987825 1.46
