"year","enso","nao","pdo","iod","enso_phase","nao_phase","pdo_phase","iod_phase"
1950,-0.86,-0.120833333333333,-2.23583333333333,-0.285583333333333,"Negative","Normal","Negative","Negative"
1951,0.430833333333333,-0.00833333333333331,-1.12166666666667,0.0705833333333333,"Normal","Normal","Negative","Normal"
1952,0.174166666666667,-0.425,-1.54916666666667,-0.0819166666666667,"Normal","Negative","Negative","Normal"
1953,0.713333333333333,-0.0175,-0.64,0.07425,"Positive","Normal","Normal","Normal"
1954,-0.400833333333333,0.00250000000000001,-0.403333333333333,-0.34975,"Normal","Normal","Normal","Negative"
1955,-0.948333333333333,-0.399166666666667,-2.06916666666667,-0.252916666666667,"Negative","Negative","Negative","Negative"
1956,-0.5775,-0.0441666666666667,-1.8125,-0.386166666666667,"Negative","Normal","Negative","Negative"
1957,0.960833333333333,-0.195833333333333,0.29,-0.291666666666667,"Positive","Normal","Positive","Negative"
1958,0.8325,-0.589166666666667,0.864166666666667,-0.618916666666667,"Positive","Negative","Positive","Negative"
1959,0.136666666666667,0.3525,0.274166666666667,-0.473416666666667,"Normal","Positive","Positive","Negative"
1960,0.0683333333333333,-0.41,0.0391666666666667,-0.496416666666667,"Normal","Negative","Normal","Negative"
1961,-0.0166666666666667,0.0433333333333333,-0.574166666666667,0.235833333333333,"Normal","Normal","Normal","Positive"
1962,-0.215,-0.341666666666667,-1.10166666666667,0.0136666666666667,"Normal","Negative","Normal","Normal"
1963,0.6575,-0.416666666666667,-0.240833333333333,0.244166666666667,"Positive","Negative","Normal","Positive"
1964,-0.341666666666667,-0.0416666666666667,-0.8875,-0.446583333333333,"Normal","Normal","Normal","Negative"
1965,0.900833333333333,-0.13,-0.144166666666667,-0.209166666666667,"Positive","Normal","Normal","Negative"
1966,0.375,-0.328333333333333,-0.44,-0.100583333333333,"Normal","Negative","Normal","Normal"
1967,-0.306666666666667,0.366666666666667,-0.741666666666667,0.1155,"Normal","Positive","Normal","Normal"
1968,0.135,-0.94,-0.154166666666667,-0.08225,"Normal","Negative","Normal","Normal"
1969,0.745,-0.0583333333333333,-0.344166666666667,-0.101833333333333,"Positive","Normal","Normal","Normal"
1970,-0.32,-0.253333333333333,-0.404166666666667,-0.06775,"Normal","Negative","Normal","Normal"
1971,-0.94,0.01,-1.31583333333333,-0.04275,"Negative","Normal","Negative","Normal"
1972,0.9275,0.51,-1.14416666666667,0.4355,"Positive","Positive","Negative","Positive"
1973,-0.6175,-0.0866666666666667,-1.13666666666667,-0.12875,"Negative","Normal","Negative","Normal"
1974,-0.886666666666667,0.180833333333333,-0.3025,-0.134833333333333,"Negative","Normal","Normal","Normal"
1975,-1.0525,-0.0741666666666667,-1.41166666666667,-0.206916666666667,"Negative","Normal","Negative","Negative"
1976,-0.0491666666666667,0.1875,-0.149166666666667,0.1565,"Normal","Normal","Normal","Positive"
1977,0.511666666666667,-0.335833333333333,0.045,0.00283333333333334,"Positive","Negative","Normal","Normal"
1978,-0.0983333333333333,0.3175,0.0716666666666666,-0.275333333333333,"Normal","Positive","Normal","Negative"
1979,0.250833333333333,0.135,0.1075,-0.0603333333333333,"Normal","Normal","Normal","Normal"
1980,0.253333333333333,-0.4125,0.308333333333333,-0.326833333333333,"Normal","Negative","Positive","Negative"
1981,-0.268333333333333,-0.2125,0.838333333333333,-0.173333333333333,"Normal","Normal","Positive","Normal"
1982,0.99,0.43,-0.2575,0.320833333333333,"Positive","Positive","Normal","Positive"
1983,0.48,0.31,1.24833333333333,-0.0679166666666667,"Positive","Positive","Positive","Normal"
1984,-0.505833333333333,0.2475,0.603333333333333,-0.228833333333333,"Negative","Positive","Positive","Negative"
1985,-0.598333333333333,-0.183333333333333,0.0266666666666667,-0.287333333333333,"Negative","Normal","Normal","Negative"
1986,0.253333333333333,0.503333333333333,1.0075,-0.136666666666667,"Normal","Positive","Positive","Normal"
1987,1.27666666666667,-0.1225,1.13666666666667,0.197916666666667,"Positive","Normal","Positive","Positive"
1988,-0.810833333333333,-0.0133333333333333,-0.0383333333333333,-0.1025,"Negative","Normal","Normal","Normal"
1989,-0.605,0.701666666666667,-0.504166666666667,-0.269,"Negative","Positive","Normal","Negative"
1990,0.315,0.594166666666667,-0.826666666666667,-0.159,"Normal","Positive","Normal","Normal"
1991,0.646666666666667,0.268333333333333,-0.879166666666667,0.213583333333333,"Positive","Positive","Normal","Positive"
1992,0.630833333333333,0.580833333333333,0.76,-0.4655,"Positive","Positive","Positive","Negative"
1993,0.3125,0.179166666666667,1.04333333333333,-0.0606666666666667,"Normal","Normal","Positive","Normal"
1994,0.475,0.575833333333333,-0.493333333333333,0.478583333333333,"Positive","Positive","Normal","Positive"
1995,-0.16,-0.0808333333333333,0.439166666666667,-0.0150833333333333,"Normal","Normal","Positive","Normal"
1996,-0.46,-0.214166666666667,0.683333333333333,-0.361666666666667,"Normal","Normal","Positive","Negative"
1997,1.17083333333333,-0.156666666666667,1.31666666666667,0.518333333333333,"Positive","Normal","Positive","Positive"
1998,-0.0575,-0.480833333333333,-0.478333333333333,-0.0655,"Normal","Negative","Normal","Normal"
1999,-1.225,0.390833333333333,-1.84333333333333,0.03425,"Negative","Positive","Negative","Normal"
2000,-0.835833333333333,0.206666666666667,-1.12583333333333,0.0695,"Negative","Normal","Negative","Normal"
2001,-0.308333333333333,-0.1825,-1.13416666666667,-0.0238333333333333,"Normal","Normal","Negative","Normal"
2002,0.630833333333333,0.0391666666666667,-0.439166666666667,0.02,"Positive","Normal","Normal","Normal"
2003,0.250833333333333,0.0975,0.381666666666667,0.06325,"Normal","Normal","Positive","Normal"
2004,0.446666666666667,0.2425,-0.224166666666667,-0.0368333333333333,"Normal","Normal","Normal","Normal"
2005,0.0408333333333333,-0.2675,-0.188333333333333,-0.194083333333333,"Normal","Negative","Normal","Normal"
2006,0.0716666666666667,-0.2075,-0.350833333333333,0.181583333333333,"Normal","Normal","Normal","Positive"
2007,-0.6075,0.173333333333333,-0.7025,0.200416666666667,"Negative","Normal","Normal","Positive"
2008,-0.781666666666667,-0.378333333333333,-1.66333333333333,0.155416666666667,"Negative","Negative","Negative","Normal"
2009,0.281666666666667,-0.243333333333333,-1.03166666666667,0.136666666666667,"Normal","Normal","Normal","Normal"
2010,-0.479166666666667,-1.1525,-1.06083333333333,0.0569166666666667,"Negative","Negative","Normal","Normal"
2011,-0.860833333333333,0.293333333333333,-1.81166666666667,0.286166666666667,"Negative","Positive","Negative","Positive"
2012,-0.150833333333333,-0.455833333333333,-1.73333333333333,0.205416666666667,"Normal","Negative","Negative","Positive"
2013,-0.3225,0.21,-1.16583333333333,-0.03525,"Normal","Normal","Negative","Normal"
2014,0.116666666666667,0.186666666666667,0.554166666666667,-0.00175,"Normal","Normal","Positive","Normal"
2015,1.46083333333333,0.433333333333333,0.916666666666667,0.267666666666667,"Positive","Positive","Positive","Positive"
2016,0.334166666666667,-0.0383333333333333,0.669166666666667,-0.14875,"Normal","Normal","Positive","Normal"
2017,-0.204166666666667,0.225833333333333,-0.0958333333333333,0.36075,"Normal","Normal","Normal","Positive"
2018,0.00666666666666668,1.08333333333333,-0.36,0.29525,"Normal","Positive","Normal","Positive"
2019,0.4875,-0.318333333333333,-0.1475,0.631416666666667,"Positive","Negative","Normal","Positive"
2020,-0.359166666666667,0.290833333333333,-1.14166666666667,0.186666666666667,"Normal","Positive","Negative","Positive"
2021,-0.723333333333333,-0.398333333333333,-1.87,0.122666666666667,"Negative","Negative","Negative","Normal"
